x0,x1,x2,x3,y,x4,x5
0.37,,A2,59.1,1082.0,4.71,4.69
0.46,,A5,61.7,1413.0,4.94,4.98
0.43,A1,A7,61.9,1318.0,4.87,4.88
0.52,,A3,61.9,1214.0,5.19,5.21
1.0,A2,A1,63.5,4295.0,6.35,6.32
0.75,A4,A3,59.1,1944.0,5.99,5.82
0.91,A3,A1,60.2,3034.0,6.24,6.29
0.33,A2,A2,63.0,752.0,4.38,4.42
0.41,A2,A0,63.3,876.0,4.74,4.71
1.13,,A3,60.2,4430.0,6.74,6.71
1.52,A0,A4,61.4,11621.0,7.44,7.3
1.11,A0,A1,62.5,4134.0,6.59,6.53
0.9,A3,A4,62.2,5068.0,6.12,6.16
0.9,A2,A2,59.8,5102.0,6.23,6.28
0.35,A0,A0,61.9,788.0,4.52,4.49
0.4,,A4,61.3,877.0,4.75,4.78
1.06,A1,A0,61.7,5255.0,6.48,6.52
1.5,A0,A3,58.4,11189.0,7.54,7.5
0.31,A2,A3,61.6,468.0,4.36,4.39
0.5,A1,A1,60.7,1359.0,5.16,5.19
0.31,A1,A7,61.7,871.0,4.37,4.39
0.3,,A7,62.0,943.0,4.31,4.34
0.31,,A2,61.3,695.0,4.38,4.39
0.27,A0,A5,60.6,622.0,4.18,4.2
1.09,,A3,61.4,5677.0,6.64,6.58
1.2,A2,A1,62.9,5257.0,6.74,6.77
1.73,A0,A3,61.6,,7.74,7.71
0.3,,A2,61.4,1125.0,4.36,4.34
0.4,A0,A4,61.3,1021.0,4.79,4.74
1.18,A1,A3,62.3,6191.0,6.73,6.76
0.9,A2,A5,62.3,4977.0,6.09,6.15
2.51,A1,A1,58.4,18037.0,8.87,8.79
0.72,A1,A3,61.7,3012.0,5.74,5.78
0.28,A3,A0,62.6,373.0,4.12,4.15
0.43,,A3,62.2,981.0,4.8,4.84
1.01,A2,A3,63.3,6794.0,6.35,6.38
0.3,,A4,62.3,675.0,4.28,4.26
0.32,A3,A0,63.1,432.0,4.36,4.39
0.8,,A1,64.2,,5.89,5.83
1.11,A1,A3,62.0,7602.0,6.62,6.67
0.41,A3,,63.4,738.0,4.68,4.72
1.5,A2,A4,63.4,12005.0,7.25,7.19
2.01,A1,A1,61.6,18183.0,8.08,8.02
0.44,A1,A0,61.6,911.0,4.87,4.93
0.91,A4,A3,66.8,3837.0,5.95,5.97
0.32,,A7,61.4,814.0,4.42,4.47
1.23,,A0,62.3,6542.0,6.79,6.83
1.7,A1,A1,62.0,7464.0,7.68,7.65
0.9,A3,A4,63.6,,6.09,6.12
0.4,A1,A7,62.6,828.0,4.71,4.75
0.9,,A0,60.8,4463.0,6.19,6.24
0.4,A2,A2,58.9,982.0,4.8,4.84
0.58,A1,A3,61.7,1683.0,5.35,5.42
0.35,,A5,61.8,859.0,4.5,4.53
0.36,A1,A0,61.6,,4.59,4.6
1.0,,A4,63.7,5018.0,6.34,6.32
1.66,A0,A1,62.6,10553.0,7.53,7.48
1.5,A4,A4,65.4,15584.0,7.14,7.07
0.88,A1,A1,62.2,3962.0,6.12,6.16
1.11,A1,A4,61.2,6758.0,6.67,6.7
1.67,A0,A4,61.1,11400.0,7.69,7.6
0.39,A3,A2,61.5,943.0,4.73,4.74
0.91,A2,A4,62.8,,6.08,6.11
0.3,A1,A7,62.1,956.0,4.35,4.31
0.71,A0,A0,60.7,2809.0,5.84,5.8
1.27,A1,A1,62.6,4693.0,6.85,6.88
1.21,A3,A0,64.2,6708.0,6.65,6.59
1.21,,A3,61.8,10556.0,6.86,6.9
1.15,A0,,62.6,5851.0,6.71,6.65
0.41,,A4,60.6,976.0,4.83,4.87
0.7,A0,A3,61.2,1843.0,5.7,5.73
0.23,A2,A2,61.4,458.0,3.92,3.99
0.33,A0,A7,61.7,1010.0,4.45,4.43
0.44,,A4,63.2,,4.82,4.86
0.38,,A3,60.4,766.0,4.67,4.7
1.05,,A7,59.0,11946.0,6.7,6.66
0.71,A2,A4,63.4,2841.0,5.69,5.61
0.53,A1,A3,62.4,1721.0,5.16,5.2
0.41,,,61.5,827.0,4.8,4.82
0.57,,A3,61.6,1567.0,5.34,5.37
1.29,A1,A2,59.8,13530.0,7.07,7.11
0.73,A2,,60.4,2549.0,5.86,5.89
0.53,,A7,61.8,,5.18,5.22
0.45,A1,A3,61.9,717.0,4.92,4.94
1.22,A0,A1,61.5,6351.0,6.85,6.81
0.33,,A4,61.9,666.0,4.44,4.48
0.29,,A4,61.7,647.0,4.26,4.23
0.72,,A0,62.0,2737.0,5.76,5.79
0.36,A0,A0,60.4,486.0,4.58,4.62
0.46,A3,A1,64.0,787.0,4.88,4.83
0.31,,A3,63.8,586.0,4.33,4.29
1.23,A2,A3,61.6,6459.0,6.84,6.86
1.0,A2,A0,61.8,4712.0,6.33,6.38
0.7,,,59.2,3154.0,5.79,5.84
1.5,A2,A0,62.9,8931.0,7.24,7.28
0.32,A0,,62.7,684.0,4.4,4.37
2.01,A1,A1,61.7,18394.0,8.12,8.16
1.31,,A5,62.8,17496.0,7.01,6.95
0.31,A1,A3,61.7,507.0,4.34,4.38
0.7,A2,A0,61.6,2230.0,5.66,5.7
1.21,A0,A3,62.2,5502.0,6.79,6.85
1.01,A4,A1,64.8,3477.0,6.37,6.26
0.69,A3,A3,58.7,2057.0,5.73,5.79
0.3,,A0,60.9,432.0,4.29,4.31
0.35,A1,A4,61.6,829.0,4.5,4.53
0.4,,A4,60.4,1050.0,4.77,4.74
1.02,,A0,63.5,5598.0,6.35,6.27
0.4,,A2,61.5,1172.0,4.74,4.76
1.22,A0,A0,60.6,6387.0,6.92,6.85
1.75,A0,A4,59.6,17191.0,7.9,7.76
0.26,A0,,62.9,769.0,4.08,4.06
1.15,,A2,58.8,6793.0,6.87,6.9
1.28,A0,A1,61.9,5949.0,7.02,6.94
1.01,A3,A1,63.8,4185.0,6.41,6.31
0.3,A1,A0,60.7,,4.35,4.37
0.5,A4,A3,79.0,2579.0,5.21,5.18
0.3,A0,A5,61.8,1013.0,4.33,4.28
0.23,A1,A5,61.1,484.0,3.98,4.01
0.27,A1,A2,61.8,622.0,4.12,4.16
0.71,,A4,61.8,2306.0,5.72,5.76
1.0,A0,A0,61.7,5396.0,6.42,6.35
,A1,A2,60.8,,4.42,4.46
1.19,unknown,A3,57.4,6937.0,6.9,7.0
0.76,,A2,59.6,2792.0,5.91,5.86
0.34,A0,A0,62.7,803.0,4.45,4.42
1.51,A1,,62.3,12459.0,7.33,7.3
1.27,,A1,61.0,5428.0,7.01,6.95
0.5,A0,A0,62.3,,5.16,5.08
1.58,A1,A0,60.7,11610.0,7.56,7.6
0.54,,A3,61.1,1820.0,5.3,5.27
0.31,,A1,62.8,593.0,4.37,4.35
1.02,A3,A0,63.1,4443.0,6.37,6.43
0.72,A2,A4,63.2,3083.0,5.69,5.73
2.01,,A0,62.3,,8.03,7.97
0.56,A1,A1,60.0,1568.0,5.42,5.38
2.05,,A1,61.6,18181.0,8.16,8.11
0.43,,A3,61.3,867.0,4.83,4.86
0.36,A1,A0,62.3,505.0,4.54,4.58
0.54,,A4,61.1,1774.0,5.28,5.3
0.91,A3,A0,64.0,3730.0,6.09,6.06
1.16,A2,A3,60.2,7803.0,6.79,6.7
0.38,A0,A5,61.3,1064.0,4.68,4.62
1.11,,A4,61.5,7503.0,6.66,6.7
2.02,A3,A0,64.3,13286.0,7.85,7.99
0.32,,A1,62.5,530.0,4.38,4.33
0.52,,A0,62.2,1352.0,5.18,5.2
0.71,A0,A3,62.1,2711.0,5.68,5.72
0.24,A2,A5,61.7,485.0,3.98,4.0
1.2,,A2,62.7,14033.0,6.8,6.82
0.47,A4,A0,58.4,1086.0,5.16,5.12
0.4,,,63.3,630.0,4.68,4.64
1.01,A1,A2,62.5,7941.0,6.38,6.41
0.94,A0,A3,60.1,4629.0,6.32,6.35
0.54,,A0,61.2,1307.0,5.23,5.29
1.01,,A0,63.6,4899.0,6.31,6.37
0.3,,A0,62.1,641.0,4.29,4.25
0.32,A2,A3,62.9,393.0,4.37,4.4
0.67,A0,A3,61.0,2050.0,5.68,5.63
0.41,A2,A1,62.7,683.0,4.75,4.78
0.3,,A7,60.7,1131.0,4.35,4.38
0.74,A0,A0,60.7,2415.0,5.85,5.82
1.01,A2,A0,61.6,5443.0,6.43,6.47
1.02,A1,A0,61.9,5014.0,6.46,6.4
0.9,,A1,62.8,3217.0,6.05,6.15
0.7,,A5,63.2,4644.0,5.62,5.67
1.04,,A1,62.9,4277.0,6.47,6.43
1.14,,A1,60.9,5139.0,6.8,6.73
0.4,,A0,63.3,687.0,4.68,4.74
0.32,A1,A3,62.5,449.0,4.35,4.39
1.04,,A3,60.1,6342.0,6.56,6.61
1.02,,A4,61.5,7916.0,6.47,6.5
1.0,A4,,66.5,3696.0,6.21,6.19
0.9,,A3,61.2,3810.0,6.21,6.14
0.9,,A0,63.3,4545.0,6.18,6.12
0.31,A1,,62.9,872.0,4.35,4.3
0.84,A4,A3,65.0,3172.0,5.83,5.87
1.01,,A1,59.5,4355.0,6.59,6.53
1.05,A3,,63.1,4529.0,6.42,6.47
1.32,,A3,60.5,7125.0,7.02,7.06
0.53,A1,,61.4,1721.0,5.21,5.24
0.3,A1,A2,62.7,878.0,4.32,4.26
0.71,A1,A1,62.1,2365.0,5.72,5.74
0.4,,A3,62.0,975.0,4.7,4.66
0.4,A1,A1,60.6,870.0,4.82,4.76
1.05,A2,A0,59.7,5019.0,6.6,6.66
,A1,A4,62.2,4428.0,6.14,6.17
0.44,A0,A4,62.3,965.0,4.82,4.87
0.7,A0,A2,60.2,2999.0,5.74,5.66
0.3,A1,A7,61.3,957.0,4.28,4.33
0.3,A0,A0,59.7,552.0,4.34,4.37
0.35,A0,A4,61.3,788.0,4.57,4.54
1.0,A3,A1,58.1,3541.0,6.48,6.46
0.47,A1,A5,61.6,1421.0,4.99,5.05
0.91,A3,A4,63.4,4298.0,6.12,6.18
0.73,,A2,62.0,3714.0,5.79,5.73
1.23,A0,A3,60.6,6577.0,6.94,6.89
0.3,A1,A3,61.7,454.0,4.28,4.32
0.9,,A4,65.4,2964.0,6.02,5.93
0.51,,A2,62.6,1875.0,5.1,5.12
0.3,A1,A4,62.9,776.0,4.31,4.28
0.7,A2,A3,61.8,3026.0,5.69,5.74
0.33,A1,A7,62.1,891.0,4.44,4.41
1.27,A2,A5,62.5,13200.0,6.99,6.93
0.78,,A3,61.6,2970.0,5.94,5.91
2.2,A0,A0,61.2,,8.42,8.37
0.74,A1,A3,60.2,3518.0,5.87,5.92
1.11,A0,A1,58.9,4612.0,6.8,6.74
0.36,A1,A2,61.5,828.0,4.59,4.62
0.31,A1,A5,61.7,1046.0,4.38,4.34
1.73,,A0,61.2,10761.0,7.65,7.67
0.9,A0,A3,62.6,4687.0,6.14,6.06
1.61,A1,A1,61.3,11220.0,7.47,7.57
0.52,,A0,62.7,1389.0,5.1,5.14
0.34,A1,A0,62.0,750.0,4.53,4.5
0.44,A1,A3,62.3,828.0,4.89,4.86
1.52,A0,A3,60.5,13389.0,7.49,7.53
0.7,A3,A4,59.4,3063.0,5.79,5.83
0.42,,A0,60.9,760.0,4.89,4.86
0.43,A0,,61.8,943.0,4.83,4.88
1.01,A1,A0,60.6,3999.0,6.51,6.56
1.01,A1,A1,62.6,4872.0,6.4,6.34
,,A0,63.1,3445.0,6.16,6.11
0.55,A1,A3,61.8,1659.0,5.23,5.26
1.6,A0,,62.2,11818.0,7.44,7.5
0.9,A4,A0,65.6,3145.0,6.1,6.03
0.9,A2,A4,60.5,4201.0,6.13,6.16
0.42,A2,A7,60.0,1722.0,4.87,4.9
0.32,A0,A3,59.8,561.0,4.48,4.52
0.24,A2,A2,61.8,608.0,4.01,4.04
1.57,,A3,60.8,7385.0,7.5,7.47
0.74,A0,A3,60.2,2553.0,5.92,5.88
2.01,A2,A3,59.6,,8.13,8.19
0.72,,A2,60.9,2136.0,5.74,5.78
0.38,,A4,60.2,1069.0,4.71,4.66
0.31,A1,A4,61.2,821.0,4.4,4.42
0.32,,A3,60.7,645.0,4.41,4.45
1.02,,A3,60.3,,6.58,6.48
0.38,A1,A5,61.6,1067.0,4.65,4.73
0.42,A1,,60.9,1031.0,4.84,4.88
1.52,A2,A4,63.8,15819.0,7.25,7.3
1.18,,A6,62.5,3965.0,6.75,6.62
1.09,A2,A1,60.9,4349.0,6.64,6.69
0.31,,A5,62.0,789.0,4.3,4.34
0.41,A1,,62.0,1151.0,4.78,4.8
1.23,A2,A0,63.1,6665.0,6.81,6.78
1.01,,A4,61.1,5416.0,6.45,6.48
0.71,,A2,62.3,3799.0,5.65,5.71
1.01,A2,,61.8,4432.0,6.4,6.47
0.97,A0,A0,59.9,4810.0,6.36,6.39
0.75,A4,A0,55.0,1827.0,6.2,6.04
1.09,A0,A1,59.4,4444.0,6.81,6.7
0.41,,A4,62.0,1007.0,4.73,4.76
0.42,A1,A3,62.1,1081.0,4.78,4.85
1.09,,A0,61.7,4273.0,6.59,6.53
1.56,A3,A3,62.3,8107.0,7.41,7.36
1.22,A0,A3,60.9,6354.0,6.89,6.86
0.54,A1,A5,60.3,1846.0,5.28,5.33
1.1,A1,A3,61.8,4962.0,6.65,6.6
0.51,,A3,62.9,1546.0,5.12,5.08
0.7,,,64.3,2142.0,5.63,5.59
0.9,A0,A0,60.0,3629.0,6.33,6.27
0.77,,A0,63.2,2873.0,5.8,5.84
0.39,,A1,61.5,558.0,4.66,4.7
1.04,A0,A0,62.8,4467.0,6.5,6.41
1.01,,A4,60.8,7017.0,6.45,6.41
0.71,A1,A3,61.8,3123.0,5.7,5.75
0.31,A1,A2,61.6,791.0,4.37,4.4
1.0,A3,A4,63.6,,6.35,6.32
2.02,A1,A0,62.4,16128.0,8.07,8.11
1.25,,A3,60.0,4795.0,7.07,7.02
0.75,A0,A1,60.3,2307.0,5.88,5.86
0.4,,A5,61.4,1123.0,4.72,4.76
0.41,A3,A5,60.4,1169.0,4.76,4.81
1.36,A0,A4,62.0,7592.0,7.1,7.06
0.33,,A4,59.6,781.0,4.49,4.54
0.71,A0,A1,61.4,2306.0,5.74,5.7
0.96,,A3,63.9,3312.0,6.27,6.21
0.41,A1,A7,61.7,1367.0,4.77,4.8
1.51,,A4,62.9,13378.0,7.32,7.41
1.53,A1,A6,62.3,6477.0,7.38,7.34
0.5,A2,A3,61.2,1682.0,5.07,5.12
0.5,A3,A3,63.4,1635.0,5.05,5.1
2.07,A2,A0,59.8,17019.0,8.23,8.26
2.0,,A1,61.0,14406.0,8.06,7.97
1.01,,A4,62.7,6335.0,6.36,6.31
0.47,A2,A4,61.8,1566.0,4.97,5.03
0.9,,A4,62.6,3447.0,6.14,6.17
1.0,,A4,62.7,4732.0,6.37,6.33
0.42,A0,A0,60.0,,4.89,4.85
0.7,,A3,62.1,2367.0,5.68,5.69
0.7,,A0,59.8,2401.0,5.74,5.8
1.75,A0,A1,60.6,13363.0,7.74,7.78
2.1,A4,A6,67.4,6597.0,7.82,7.76
0.83,A1,A0,62.0,3774.0,6.03,6.07
1.01,,A3,61.9,4559.0,6.45,6.37
0.41,,A3,61.3,941.0,4.81,4.84
0.32,A0,A4,62.1,,4.39,4.37
0.9,A1,,61.9,4101.0,6.21,6.19
,A1,A0,62.4,16709.0,8.68,8.59
1.5,A0,A3,61.7,7308.0,7.33,7.23
0.44,A1,A4,62.3,1235.0,4.84,4.88
0.54,,A4,62.1,2004.0,5.19,5.22
1.5,A2,A3,60.9,10023.0,7.37,7.43
0.93,A3,A1,61.3,3376.0,6.17,6.26
,A1,A4,62.4,854.0,4.45,4.43
0.71,,A3,61.7,2511.0,5.75,5.72
1.2,,A3,63.7,4466.0,6.61,6.68
0.51,,A0,58.7,1363.0,5.21,5.25
0.57,A3,A3,63.3,1100.0,5.24,5.28
1.01,A0,A1,60.6,4121.0,6.46,6.5
0.75,A1,A4,62.5,3555.0,5.8,5.85
0.71,A1,A3,62.0,3304.0,5.72,5.75
0.9,,A4,61.4,4479.0,6.18,6.32
2.0,,A0,59.1,17930.0,8.14,8.18
,A1,A5,62.5,1068.0,4.76,4.78
0.37,A0,A3,59.3,,4.71,4.67
1.0,A2,A1,62.8,3991.0,6.35,6.43
0.3,A2,A0,62.4,526.0,4.24,4.28
1.17,A3,A1,63.8,4914.0,6.73,6.57
0.53,A3,A0,63.8,1363.0,5.16,5.13
2.29,A2,A1,63.4,11502.0,8.4,8.33
0.7,A0,A3,58.7,2586.0,5.86,5.83
1.01,A0,A4,59.5,4853.0,6.49,6.48
0.76,A3,A0,57.7,2447.0,6.05,5.97
0.72,A3,A0,63.4,2647.0,5.66,5.69
0.78,A2,A4,61.5,3472.0,5.92,5.97
1.02,A2,A4,62.0,6126.0,6.39,6.45
0.35,,A7,62.6,898.0,4.43,4.49
